bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H30047,InscriptionSentence,1,無名,未释佑雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30048,InscriptionSentence,0,無名,自今辛至于來辛佑大雨,rain,"{""keyword"": ""雨""}"
H30048,InscriptionSentence,0,無名,自今辛至于來辛佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30048,InscriptionSentence,1,無名,未释今辛至未释來辛亡大雨,rain,"{""keyword"": ""雨""}"
H30049,InscriptionSentence,0,無名,未释至于壬佑大雨,rain,"{""keyword"": ""雨""}"
H30049,InscriptionSentence,0,無名,未释至于壬佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30050,InscriptionSentence,0,無名,自乙至丁佑大雨,rain,"{""keyword"": ""雨""}"
H30050,InscriptionSentence,0,無名,自乙至丁佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30050,InscriptionSentence,1,無名,乙月雨,rain,"{""keyword"": ""雨""}"
H30050,InscriptionSentence,2,無名,丁亡其大雨,rain,"{""keyword"": ""雨""}"
H30050,InscriptionSentence,3,無名,今月雨,rain,"{""keyword"": ""雨""}"
H30050,InscriptionSentence,4,無名,今月不雨入,rain,"{""keyword"": ""雨""}"
H30052,InscriptionSentence,1,無名,未释大雨,rain,"{""keyword"": ""雨""}"
H30053,InscriptionSentence,0,無名,未释大雨,rain,"{""keyword"": ""雨""}"
H30055,InscriptionSentence,0,無名,未释大雨,rain,"{""keyword"": ""雨""}"
H30056,InscriptionSentence,0,無名,壬申卜今日不大雨,rain,"{""keyword"": ""雨""}"
H30057,InscriptionSentence,0,無名,壬子卜乙佑大雨,rain,"{""keyword"": ""雨""}"
H30057,InscriptionSentence,0,無名,壬子卜乙佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30059,InscriptionSentence,1,無名,今日壬亡大雨,rain,"{""keyword"": ""雨""}"
H30060,InscriptionSentence,0,無名,今日癸不大雨,rain,"{""keyword"": ""雨""}"
H30061,InscriptionSentence,0,無名,今月亡大雨,rain,"{""keyword"": ""雨""}"
H30064,InscriptionSentence,0,無名,未释亡大雨,rain,"{""keyword"": ""雨""}"
H30065,InscriptionSentence,0,無名,未释其畐禱未释雨在盂󉽂佑大雨,rain,"{""keyword"": ""雨""}"
H30065,InscriptionSentence,0,無名,未释其畐禱未释雨在盂󉽂佑大雨,ritual,"{""verb_type"": ""strong"", ""verbs"": [""禱""], ""target_type"": ""other""}"
H30066,InscriptionSentence,0,無名,辛未佑小雨,rain,"{""keyword"": ""雨""}"
H30066,InscriptionSentence,0,無名,辛未佑小雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30066,InscriptionSentence,1,無名,壬申亡大雨,rain,"{""keyword"": ""雨""}"
H30068,InscriptionSentence,0,無名,叀小雨,rain,"{""keyword"": ""雨""}"
H30069,InscriptionSentence,0,無名,不冓小雨,rain,"{""keyword"": ""雨""}"
H30076,InscriptionSentence,0,何二,乙酉未释未释貞王其未释雨未释,rain,"{""keyword"": ""雨""}"
H30076,InscriptionSentence,1,何二,未释鬯,ritual,"{""verb_type"": ""strong"", ""verbs"": [""鬯""], ""target_type"": ""other""}"
H30077,InscriptionSentence,0,無名,戊王弜未释其冓雨,rain,"{""keyword"": ""雨""}"
H30077,InscriptionSentence,1,無名,其冓大雨,rain,"{""keyword"": ""雨""}"
H30078,InscriptionSentence,0,事何,甲子卜何貞王冓雨一月,rain,"{""keyword"": ""雨""}"
